plot_type,case,horizon,variable,split,n_samples,MAE,RMSE,R2,MAPE
parity,R5-11,1,B35_H2S,unknown,79,0.0003258808518922664,0.0003927940100067174,0.3640336908197065,5.132896720161951
parity,R5-11,1,B35_H2S,all,79,0.0003258808518922664,0.0003927940100067174,0.3640336908197065,5.132896720161951
parity,R5-11,1,B35_SO2,unknown,79,0.00045441314627708206,0.0005839746607952486,0.798686645794367,8.621093263723747
parity,R5-11,1,B35_SO2,all,79,0.00045441314627708206,0.0005839746607952486,0.798686645794367,8.621093263723747
parity,R5-12,1,B35_H2S,unknown,109,0.0021307414641677683,0.002591547887873264,-3.183581530553422,12.966422308970749
parity,R5-12,1,B35_H2S,all,109,0.0021307414641677683,0.002591547887873264,-3.183581530553422,12.966422308970749
parity,R5-12,1,B35_SO2,unknown,109,0.0004907561380436083,0.0007997938184172583,0.8382218216180709,12.348268287329754
parity,R5-12,1,B35_SO2,all,109,0.0004907561380436083,0.0007997938184172583,0.8382218216180709,12.348268287329754
parity,R5,18,B35_H2S,train,1117,0.00042413434804558254,0.0005351416659206218,0.8922672446153354,4.986792215794182
parity,R5,18,B35_H2S,valid,109,0.0003471862797580396,0.0004428157415557787,0.891218542750087,4.035970167402116
parity,R5,18,B35_H2S,test,109,0.00042577723361199017,0.0004950740168294153,0.4821852642555723,5.589441654537517
parity,R5,18,B35_H2S,all,1335,0.00041798583499943744,0.0005250088124731435,0.8894754163777626,4.958364639425859
parity,R5,18,B35_SO2,train,1117,0.00016453647301873614,0.0002339922756058326,0.9622765311306118,11.54617974964511
parity,R5,18,B35_SO2,valid,109,0.00012061869645737651,0.00016610558988512273,0.9795985436313241,9.599386192501896
parity,R5,18,B35_SO2,test,109,0.000273462307885053,0.0003137494808997906,-0.01467341748441875,11.707532402172134
parity,R5,18,B35_SO2,all,1335,0.0001698442470676053,0.00023685780544872414,0.9589929497892316,11.400402177657721
parity,R5-1,18,B35_H2S,train,1117,0.00040223468694632807,0.0005158020815220745,0.9523635244343974,4.350657504288749
parity,R5-1,18,B35_H2S,valid,109,0.00038294424412094213,0.0004785377935950681,0.01563683344999256,4.440556484033243
parity,R5-1,18,B35_H2S,test,109,0.0006532929924312767,0.0007618440719164154,0.9230199198435997,6.575893409729174
parity,R5-1,18,B35_H2S,all,1335,0.0004211580555080451,0.000537301462809721,0.9465812761289576,4.539683498659652
parity,R5-1,18,B35_SO2,train,1117,0.00020760408525168997,0.0002880726046400815,0.9709446020548835,11.164282278503574
parity,R5-1,18,B35_SO2,valid,109,0.0003266467675314953,0.00039924054719640725,0.6181961094192544,14.350207906494322
parity,R5-1,18,B35_SO2,test,109,0.00017284424790086768,0.00023718657511166412,0.8091952951478787,13.092210420519326
parity,R5-1,18,B35_SO2,all,1335,0.0002144856059237942,0.00029502881227940674,0.966215701952873,11.5818179046689
parity,R5-2,18,B35_H2S,train,1117,0.0003919573910626787,0.000545198630813183,0.8804407820502579,4.289909211170893
parity,R5-2,18,B35_H2S,valid,109,0.0005809655797192921,0.0007397361378665841,0.47384703407732487,5.95175117350399
parity,R5-2,18,B35_H2S,test,109,0.0004726993137613854,0.0005995121511684461,0.4695769876687843,5.4733257996160365
parity,R5-2,18,B35_H2S,all,1335,0.0004139819319898172,0.0005680908725564056,0.8582338978210058,4.5222187108224485
parity,R5-2,18,B35_SO2,train,1117,0.00019769625283461246,0.0002517878933625281,0.9672393151433517,16.31418738164197
parity,R5-2,18,B35_SO2,valid,109,0.00013777101995062486,0.00016862156836186076,0.8811063919733209,27.508638996942235
parity,R5-2,18,B35_SO2,test,109,0.00028702183213308443,0.00037373063399345264,0.8939524997219129,17.076616629310706
parity,R5-2,18,B35_SO2,all,1335,0.00020009673055684378,0.0002583995126944806,0.9640098571284584,17.29044207382445
parity,R5-6,18,B35_H2S,train,1232,0.0003946042381969118,0.0005002871161131252,0.9128998263763725,4.835446155789285
parity,R5-6,18,B35_H2S,valid,123,0.00041199758850313836,0.0005711107199420108,-0.34892425896767154,5.387284954580379
parity,R5-6,18,B35_H2S,test,123,0.0005669329335295513,0.0006621469572724497,0.8203621757752151,6.216917898715941
parity,R5-6,18,B35_H2S,all,1478,0.0004103930146607687,0.0005217854564381348,0.9015094043099492,4.996337357840221
parity,R5-6,18,B35_SO2,train,1232,0.0001610408142934874,0.0002185921487305917,0.9649478070829071,10.381955593704758
parity,R5-6,18,B35_SO2,valid,123,0.00018731855536392424,0.00023479775799810381,0.8163810668405468,11.232195078474172
parity,R5-6,18,B35_SO2,test,123,0.00015683890097346184,0.000219626008304653,0.8408030994783504,22.708841848330135
parity,R5-6,18,B35_SO2,all,1478,0.00016287797722535515,0.00022007201284460342,0.9619121536731686,11.478563486766708
parity,R5-11,18,B35_H2S,unknown,79,0.00031032878136799273,0.0003714223091370681,0.27147319583779506,5.052398056416264
parity,R5-11,18,B35_H2S,all,79,0.00031032878136799273,0.0003714223091370681,0.27147319583779506,5.052398056416264
parity,R5-11,18,B35_SO2,unknown,79,0.0007404613208199348,0.0008540277690840235,-4.819196265751002,11.32139844704289
parity,R5-11,18,B35_SO2,all,79,0.0007404613208199348,0.0008540277690840235,-4.819196265751002,11.32139844704289
parity,R5-12,18,B35_H2S,unknown,109,0.0026127189126770476,0.0030009163877160153,-5.65715755606693,16.306429290994856
parity,R5-12,18,B35_H2S,all,109,0.0026127189126770476,0.0030009163877160153,-5.65715755606693,16.306429290994856
parity,R5-12,18,B35_SO2,unknown,109,0.00029959467423852605,0.00037512417791585876,0.9511735441515747,20.734319191172926
parity,R5-12,18,B35_SO2,all,109,0.00029959467423852605,0.00037512417791585876,0.9511735441515747,20.734319191172926
