,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,t+13,t+14,t+15,t+16,t+17,t+18
cat2_output_temp,0.007462651,0.0070829666,0.0066606943,0.0067431163,0.006450771,0.0065137832,0.006448534,0.0066106725,0.0069195502,0.007418328,0.007738642,0.007727788,0.00771077,0.008137873,0.008034503,0.007978305,0.0075121014,0.0075116972
cat2_input_P,0.016106779,0.016152391,0.015829481,0.015667424,0.0153624425,0.015621458,0.015591822,0.015704779,0.015627269,0.015546008,0.015520687,0.015521301,0.015585508,0.015687235,0.01591397,0.016384766,0.016235549,0.016499013
cat2_output_P_SP,0.03636099,0.035776705,0.036075436,0.036957588,0.037721284,0.037241958,0.03685585,0.037083272,0.03781484,0.03722645,0.037296623,0.03691439,0.036576457,0.03718197,0.03759434,0.037722353,0.038277637,0.039018203
cat2_output_P_PV,0.014155628,0.014309017,0.014857852,0.014951222,0.015050473,0.014985015,0.014819331,0.015502083,0.015590551,0.016005106,0.016085241,0.016054412,0.016511533,0.017075807,0.01750756,0.01796841,0.018459745,0.018713482
cat2_deltaP,0.0070843017,0.007160605,0.0067294906,0.0067731445,0.006646008,0.006765425,0.0067435442,0.0069699776,0.006948669,0.0074214432,0.007649442,0.007684257,0.007850895,0.007956249,0.008156378,0.0081735635,0.008005669,0.007946437
SEP3_F,0.020822722,0.020318925,0.020570869,0.020379987,0.020781888,0.020720962,0.019999443,0.020617608,0.021005997,0.02076705,0.020123305,0.019902237,0.020210167,0.020668184,0.020769317,0.021083333,0.021541573,0.022502493
SEP3_P_SP,0.02026948,0.020120129,0.020408535,0.020923164,0.021326775,0.020780344,0.020941617,0.020723503,0.020712085,0.021197116,0.021312995,0.021578234,0.021837171,0.022388615,0.022306127,0.022263495,0.022660967,0.022642305
SEP3_P_PV,0.007288175,0.0071938313,0.006667859,0.0069027287,0.007210112,0.007825507,0.0071397997,0.0075178607,0.0073967967,0.0077988664,0.0076592336,0.0074693793,0.0076116077,0.007638125,0.007854172,0.008408136,0.008156713,0.008214855
SEP3_T,0.039126813,0.03843905,0.037065115,0.035475377,0.033770766,0.03327552,0.03236318,0.0321159,0.031947587,0.030809633,0.030967282,0.031155009,0.030365223,0.0307462,0.030527137,0.029898027,0.029442439,0.029173326
B35_H2S,0.007133444,0.007206587,0.007395582,0.00746296,0.007629772,0.007765864,0.0074174767,0.0075049703,0.007705404,0.007981898,0.008083343,0.0077705616,0.0079130735,0.008158514,0.008484012,0.008904962,0.008865232,0.009144932
B35_SO2,0.016597914,0.015872028,0.015884867,0.015378844,0.015146809,0.014828014,0.014395601,0.0143548045,0.014662561,0.013873727,0.013697226,0.013663292,0.013160942,0.013486535,0.0137439985,0.013838675,0.013701193,0.014018672
