DateTime,acidgas_Fm,acidgas_T,acidgas_P,air,second_air2,burner_output_T_PV,fur_temp,cat1_input_temp,cat1_output_temp,cat1_bed_temp,cat1_deltaP,cat2_input_temp,cat2_output_temp,cat2_bed_temp,cat2_deltaP,B35_H2S,B35_SO2
2020-04-11 17:16:00,3257.82177734375,85.12254333496094,168.05899047851562,4307.2978515625,799.1580200195312,1174.58837890625,1028.3609619140625,244.24818420410156,249.22885131835938,252.5678253173828,8.791849136352539,196.12820434570312,201.21957397460938,198.49803161621094,8.186646461486816,0.5500252842903137,0.06954739987850189
2020-04-11 17:17:00,3246.3720703125,85.1150131225586,164.84437561035156,4108.8642578125,823.469482421875,1175.5062255859375,1028.2237548828125,244.20904541015625,249.22911071777344,252.52651977539062,8.773846626281738,196.12744140625,201.2178955078125,198.492919921875,8.188982009887695,0.5499945878982544,0.06954611092805862
2020-04-11 17:18:00,3272.688720703125,85.10748291015625,167.0460662841797,4132.1376953125,790.1748657226562,1174.2349853515625,1027.9349365234375,244.13201904296875,249.2293701171875,252.48521423339844,8.755844116210938,196.12669372558594,201.2162322998047,198.48655700683594,8.19131851196289,0.5500011444091797,0.0695546567440033
2020-04-11 17:19:00,3226.41015625,85.0999526977539,166.0580291748047,4146.2392578125,798.4849853515625,1175.0438232421875,1027.957275390625,244.0550079345703,249.22962951660156,252.44390869140625,8.737841606140137,196.12594604492188,201.21456909179688,198.48020935058594,8.19365406036377,0.5499927997589111,0.06956684589385986
2020-04-11 17:20:00,3192.775634765625,85.0924301147461,165.40237426757812,4273.4677734375,756.5648803710938,1172.8096923828125,1027.9796142578125,243.9779815673828,249.22988891601562,252.40261840820312,8.719839096069336,196.12518310546875,201.21290588378906,198.47384643554688,8.195990562438965,0.48459649085998535,0.09170953184366226
2020-04-11 17:21:00,3235.272705078125,85.08489990234375,167.41549682617188,4357.54052734375,771.4853515625,1172.1785888671875,1028.16845703125,243.9009552001953,249.22406005859375,252.36131286621094,8.701837539672852,196.1244354248047,201.2112274169922,198.46749877929688,8.198326110839844,0.48221442103385925,0.0893438309431076
2020-04-11 17:22:00,3171.389892578125,85.0773696899414,164.73915100097656,4329.77490234375,809.6256713867188,1173.5955810546875,1027.8646240234375,243.8239288330078,249.2135772705078,252.32000732421875,8.68383502960205,196.12368774414062,201.20956420898438,198.4611358642578,8.200662612915039,0.5004158020019531,0.08643506467342377
2020-04-11 17:23:00,3192.87841796875,85.0698471069336,165.20204162597656,4256.63134765625,713.10107421875,1174.1044921875,1027.77490234375,243.7469024658203,249.20309448242188,252.27871704101562,8.66583251953125,196.1229248046875,201.20790100097656,198.4547882080078,8.202998161315918,0.48592233657836914,0.09340425580739975
2020-04-11 17:24:00,3234.8203125,85.06231689453125,166.02053833007812,4260.96533203125,747.2168579101562,1173.3155517578125,1027.9588623046875,243.6698760986328,249.19259643554688,252.23741149902344,8.64783000946045,196.12217712402344,201.20623779296875,198.44842529296875,8.205334663391113,0.4871459901332855,0.08871014416217804
2020-04-11 17:25:00,3202.107666015625,85.0547866821289,163.73846435546875,4107.34130859375,765.3361206054688,1174.4151611328125,1028.0343017578125,243.5928497314453,249.18211364746094,252.2224578857422,8.629827499389648,196.12142944335938,201.20455932617188,198.44207763671875,8.207670211791992,0.48169592022895813,0.0899069681763649
