,QV1_AI01,QV2_AI02,SV1_FI05,SV2_FI06,SV3_TI06,SV4_TI01,SV5_PI06,SV6_AT02,SV7_TI02,SV8_TI03,SV9_FT04,SV10_TI04,SV11_TI05,SV12_TI07,SV13_FIC02,SV14_TI08,SV15_TIC12,SV16_TI09,SV17_PI04,SV18_PIC03,SV19_TI10,SV20_PI05,SV21_TI11,SV22_PIC02,SV23_FIC01,SV24_FIC02
t+15,0.1522499639041367,0.1752370181548585,0.014952717643030454,0.023067886774622674,0.014484324858171646,0.007548865218931214,0.008385477038672614,0.07305444162570725,0.014698710049455126,0.0014349761515526937,3403828.1350111146,0.0011477071229394717,0.016599114058151804,0.018508894427908356,0.02786023777872812,0.002745888811116722,0.0025874718734990873,0.0022013661729429345,0.0013833325973191069,0.0013670415369885147,0.0022172985923101895,0.008555190573577785,0.014850049971728915,0.0007137446936677003,0.04091882473623158,24.81035051490917
t+16,0.1523289530729968,0.17571233449869425,0.014947802072159278,0.023081781264258246,0.014494622592723334,0.007554167851293834,0.00837732688963857,0.0732333243896116,0.014709290090593258,0.0014350190825915133,3405666.6341962116,0.001147369942527194,0.016603859545239175,0.018510449216610728,0.027890820286859623,0.0027453747367370235,0.002588192830919917,0.002201370994852895,0.0013830577235242492,0.0013671312225355054,0.002217252596881704,0.00855032441364703,0.014853126290604318,0.0007134332919362295,0.04092052730661253,24.802963826208096
t+17,0.15239666372179472,0.1760313602632373,0.014939779865059837,0.02308997676662198,0.014500590667698201,0.007557598267099111,0.008367714118612138,0.07335224586014398,0.014716375562478401,0.001435031209386585,3406957.560246107,0.0011470267567773276,0.016604456822569294,0.01851216856695487,0.02791041383638145,0.0027447868869753204,0.0025887824435465935,0.002201256215822804,0.0013827903076186433,0.001367109884384094,0.0022171104054019976,0.008543217777608421,0.014852535432759925,0.0007131529920321535,0.04092314828618105,24.79716458464682
t+18,0.15244986165945318,0.17624070154081395,0.014929726455930702,0.02309405084304316,0.014503470080988446,0.007559600817840029,0.008357290892326003,0.07342934156564195,0.014720662677212379,0.0014349995386571351,3407852.715444388,0.0011467236203920744,0.01660230450243816,0.018513908166543646,0.027922308978027537,0.0027441729503948063,0.002589278503190958,0.0022011117148953174,0.0013825715297681193,0.0013670555544494324,0.002216968803780417,0.008534663613304417,0.014849362491842764,0.0007129287564901631,0.04092531739302129,24.793097161341827
t+19,0.26440414099114357,0.16027849447280432,0.015198585999618801,0.023213969761802726,0.014586007499631766,0.008380658528387886,0.00897261081277418,0.07107792144340598,0.018847370116020123,0.0017492344963687993,4097658.018016873,0.0011474939920392941,0.017564243402155327,0.02144969804285116,0.026791046409302986,0.002904510095485305,0.0026034214298866144,0.0022302722670700984,0.0014517604634059203,0.00139506326089002,0.0022206443603659696,0.008896182700777256,0.014851877532905643,0.0007169877269841702,0.05072055675004426,24.824491637793557
t+20,0.24128245960921257,0.15108709975295453,0.015078875605545643,0.02318247112704707,0.014319202978246466,0.008176479266575647,0.008834648826842626,0.06757919744978792,0.017885278080176918,0.0016317153426390228,3899784.877565346,0.001143463845905194,0.01711333517934049,0.02024171589812088,0.026689823772132124,0.0028427557539378524,0.0025989996995509257,0.0022243591033878378,0.001436445632705269,0.001373110701745047,0.0021841212333460064,0.008654286911701342,0.015110931615316037,0.0007100739404934198,0.048441889838495865,24.83103559377301
t+21,0.21878561745879097,0.1466235611800351,0.015035476770742073,0.023137020305804223,0.01416654293145033,0.007994550591583785,0.008639449875395668,0.06523148448598241,0.01705868369810575,0.0015335921220566563,3726854.5542217637,0.0011420198810993037,0.016795040146972473,0.019430684360961202,0.02667227677989174,0.002794802577127897,0.00259562406755977,0.002216900945448532,0.001416942145316583,0.001363908042709717,0.002190323145369272,0.008502477979752343,0.015153355954103807,0.0007112907059249887,0.04621805219178501,24.80460079006834
t+22,0.19866992209223702,0.14739266348595517,0.015002179425975752,0.023077479668044253,0.014110733263257496,0.007848277912408046,0.008487786973670277,0.06464685770879068,0.016359137520643625,0.0014677127012937665,3597575.4487621672,0.0011423044787996824,0.016583959339864788,0.01896159018270209,0.026748556179888874,0.0027638779730461333,0.00259311583672126,0.002210350840279643,0.0014028178112538532,0.0013602190687437255,0.002201762382756244,0.008419382500948666,0.015083813233788919,0.0007134431779458276,0.04443200329588746,24.787113920952308
t+23,0.18238156113008225,0.15113207067747267,0.014957808947264683,0.02302679624355951,0.01411701893085009,0.007743405342086079,0.008393265194591869,0.06537708821824997,0.015821061919035765,0.001432636664126039,3512126.5872492166,0.0011434053251188465,0.016460671870050656,0.01869596559576446,0.02689802831436795,0.002745986843091798,0.00259278443914701,0.0022063704192083053,0.0013947178681680743,0.001359794912521252,0.0022106968276569407,0.008382790440275142,0.01498742465190116,0.0007146878982986717,0.04314202439057822,24.79205526825949
t+24,0.17047171338277275,0.156118616038489,0.014913929933419227,0.02299133790599003,0.014158698063974807,0.007670083042880524,0.00834009729382636,0.06674290350236373,0.015439163996201828,0.0014202525715149527,3460252.1702079433,0.0011446870981549231,0.01640803229099154,0.01856100903901279,0.027077965412488126,0.002737096406535127,0.0025938327890764772,0.0022044935365672586,0.0013904788998947567,0.0013608577952786871,0.002216509227995802,0.008373144443290865,0.014902669433198243,0.0007151114780686527,0.04227209580810899,24.81199925955041
t+25,0.1626323054041497,0.16097192395761986,0.014874219949586607,0.02297488673099774,0.014213380671449715,0.007620915171653719,0.008310538056151616,0.06823076029489678,0.015178169229229202,0.0014197083715690422,3430725.2679699166,0.0011457755595564421,0.016399156505116592,0.01850261860373615,0.027254094696955836,0.0027335849985886157,0.002595021005483554,0.0022037599089172856,0.0013882811145732913,0.0013624064586455896,0.002219694056771605,0.008376462754341944,0.014841838097637106,0.0007150266720183053,0.041714788034146445,24.83399535540738
t+26,0.15783129740816892,0.16505725238039226,0.014840140686589499,0.022973237647357387,0.01426818292660666,0.007589380093711149,0.008291911457768779,0.06955937298723337,0.015003548627536164,0.0014239226072908437,3414988.649348921,0.001146481227809992,0.016411593225492495,0.018485859416122182,0.027408645256052157,0.0027330389114057253,0.002595953668536004,0.0022034792092142665,0.0013870137122485196,0.0013639122696423877,0.0022211709445782014,0.008383709121438926,0.014801454541820951,0.0007146994029235361,0.04137369041204459,24.849724026079432
t+27,0.15520145984908543,0.16822608387418414,0.014812943258607313,0.02298028689594663,0.014316770556739933,0.007569218233206581,0.008277769208830846,0.07063432645457386,0.01488912573662105,0.0014283945043104403,3409017.88358919,0.0011468501364393813,0.016431298792641567,0.018483832778895825,0.02753621580475323,0.0027339578523018536,0.0025965612420976543,0.0022031842426746486,0.0013860861249551865,0.0013650580119018993,0.0022214599753632353,0.008390295588370563,0.014776058835203632,0.0007142933625276063,0.04117118585179662,24.85661862251134
t+28,0.153731878621691,0.17059232377435155,0.014790785591644134,0.022991904760991097,0.014357297149395102,0.007556182434657213,0.008265357311730294,0.07145284187297023,0.014815644396769974,0.0014316984613377173,3407508.1661774837,0.001146972252788263,0.01645095561209163,0.018487387981459217,0.027636626401861774,0.0027354131800227275,0.0025969258478509344,0.0022027700468866553,0.001385317266811067,0.0013658193859108715,0.0022210334986412293,0.008394497760314068,0.014760825434953058,0.0007139057756574641,0.04105459058291701,24.855809629503653
t+29,0.15292286720610182,0.17228888057483224,0.014772696852231133,0.02300461506704517,0.014388991145194993,0.0075478368544200074,0.008253490015507679,0.07204642199958829,0.0147693393891739,0.0014338727201775587,3408370.7277073343,0.0011469607404641763,0.016467025013937184,0.018492946437205608,0.027713580728308842,0.0027369170457104417,0.002597108699581568,0.0022022717416521694,0.0013846123786729623,0.0013662609769159821,0.0022202652913256024,0.008395783609664365,0.01475161771872889,0.0007135884292231438,0.040989352740845135,24.84961055983991
t+30,0.15251695368252643,0.17347662555583668,0.014757339329120768,0.02301649960699851,0.014412538044330098,0.007542045429156063,0.008241747723902727,0.07246408138587458,0.014740424416255593,0.001435125243881338,3410392.6009938535,0.0011469213574609618,0.016478288948397746,0.018498610192313917,0.02777097822042884,0.0027382351844771422,0.002597070084577446,0.002201790007929121,0.0013840125966173328,0.0013665128194259913,0.002219432905140516,0.008394249675385925,0.014745895824973881,0.0007133720903208647,0.04095366111186216,24.8401056366332
t+31,0.15232336903765628,0.17429465103354005,0.014743628281746083,0.02302631539135906,0.014429347643280147,0.007537861499857672,0.008229948494742675,0.07274974791816154,0.014722588186048418,0.0014357506617469038,3412846.572390265,0.0011468885104471487,0.016485024136463543,0.018503673746584893,0.027812987815075893,0.0027392564266434417,0.0025969044913170536,0.00220137013233071,0.0013835263654963365,0.0013666587958911444,0.0022186845703972544,0.00839032957393688,0.014741586792800033,0.0007132413580392144,0.04093423381170608,24.829783017405372
t+32,0.15223707392365862,0.17484815226433686,0.014730625626275994,0.023033773270889422,0.014440844035765238,0.007534641441725026,0.00821817847302551,0.07293912772370457,0.014711597386182874,0.0014359781618404064,3415384.5878922055,0.0011468599787085591,0.01648777554135418,0.01850808860589674,0.02784293666369368,0.002739960421029538,0.002596687186859732,0.0022010434678808766,0.0013831673428944089,0.0013667497193053336,0.0022180824478591527,0.008384503912754027,0.014737652408873491,0.0007131295233812998,0.040923844593216255,24.820239263302806
t+33,0.15219812533209348,0.17521522265134418,0.014718723370515979,0.0230390402545737,0.014448427391370491,0.007532076520521078,0.008207012510614555,0.07306217891751751,0.014704900372458233,0.00143595427234393,3417798.9441526453,0.0011468106927663636,0.016488114807371466,0.01851168954869798,0.027863666554415318,0.002740425759770654,0.0025959848803066496,0.002200728144056202,0.0013828714653331547,0.001366768584633124,0.0022175584870509388,0.00837773271944353,0.014733982249188047,0.0007130472062000386,0.04091882666825982,24.81230240713501
t+34,0.15217853785843535,0.17545253179500342,0.014707467652972072,0.02304212924461892,0.01445311892157028,0.007529934611767332,0.008196543792680634,0.07313839799470048,0.014700838786458567,0.0014357863381420021,3420023.0349157085,0.0011466869051140864,0.01648656483694794,0.018514372986420988,0.027877262078140022,0.002740699404148608,0.0025949896531066636,0.0022003347811058727,0.0013825695788801803,0.0013666827655947726,0.0022170208742868297,0.008370453277505135,0.01473020975626843,0.0007129622445990649,0.04091669123082981,24.806273766868184
t+35,0.1521650539288226,0.17559992319187426,0.014696528365319856,0.023043285432048328,0.014455738857520469,0.007528034665557579,0.008186895929143543,0.07318262199643652,0.014698315893999296,0.0014355389688797302,3422054.904779852,0.001146580026508462,0.016483734409701904,0.01851621867367362,0.027885432164367206,0.0027408175698941085,0.0025937007028828543,0.0021997975900597145,0.0013822124070285173,0.0013664683428358548,0.0022163857832141745,0.008363083254466417,0.014726274659783127,0.000712904285625809,0.04091636252453782,24.802230462345477
t+36,0.15215207634573702,0.17568432336059142,0.014685808830146993,0.023042863105634002,0.014456865188113312,0.007526226039407707,0.008178127357044374,0.07320478465550521,0.01469661339348173,0.0014352646667567476,3423915.679842789,0.0011465047199383917,0.016480235906740057,0.018517277885323216,0.027889599472701882,0.002740820950930578,0.002592109538934305,0.0021990993067997127,0.0013818142518114119,0.0013661560714359879,0.0022156634549502295,0.008355917825609184,0.0147222164185468,0.000712869721795593,0.040917085298069575,24.7995300081431
