,QV1_AI01,QV2_AI02,SV1_FI05,SV2_FI06,SV3_TI06,SV4_TI01,SV5_PI06,SV6_AT02,SV7_TI02,SV8_TI03,SV9_FT04,SV10_TI04,SV11_TI05,SV12_TI07,SV13_FIC02,SV14_TI08,SV15_TIC12,SV16_TI09,SV17_PI04,SV18_PIC03,SV19_TI10,SV20_PI05,SV21_TI11,SV22_PIC02,SV23_FIC01,SV24_FIC02
t+12,0.00038597373476399564,0.045954766135993315,901.4594236154501,531.0486077038687,0.6057828994581623,0.2550655623758656,0.15283144108102853,0.04219155864637151,0.5453272237261424,0.041501966109762194,134.89950121692772,0.028557034806167746,0.6944509014921362,0.5359256087454336,568.426413888543,0.07808529008224403,0.08387991143214961,0.0540530598963093,0.015910630886696406,0.01570038463898505,0.05446705312355358,0.15557701368492804,0.8142661334583423,0.008274504602969872,3450.9013836142767,9580.847284392961
t+13,0.0003867883370359545,0.04630777089898398,902.0461094709284,532.1451068821939,0.6073001417727018,0.25556303000412856,0.15284949306470588,0.04251373532656369,0.5462458629333914,0.0415334484282951,135.26531701814918,0.028565443304461542,0.6956362906939693,0.5359637308004443,570.4391486383444,0.07808917215120749,0.08392230384784602,0.05401505283109681,0.01589274676684406,0.015694227529434477,0.05442492014056804,0.15570260461259375,0.8154901265042963,0.008271736490757896,3449.317911522344,9586.641081836171
t+14,0.00038752445034852576,0.04655520473132742,902.1238888135478,532.8862266590604,0.6083586298730977,0.25592788803191624,0.15277122654086867,0.04273835199861098,0.5469844263177008,0.041548614658684084,135.53662082220896,0.028564554195582046,0.6963450148730498,0.5360170536293901,571.8198315967176,0.07808405925157949,0.08395671495953821,0.05399638118604378,0.01588228256061811,0.01569195251921256,0.054403416524106823,0.15571473329774307,0.8162211680480789,0.008268248312589852,3448.5072878926185,9590.551690851407
t+15,0.00038809515630565,0.046727814081370854,901.8469862036975,533.3705486150939,0.6090630974908713,0.25618810509043166,0.15262778080559603,0.04289256980973285,0.5475446287433123,0.041553599303927796,135.73484828435232,0.028558454023866704,0.6967126734184365,0.5360772905040349,572.749612853173,0.07807291615551529,0.0839851144156798,0.05398969145174944,0.01587699292315176,0.015692229609788288,0.05439564005858585,0.15564584671748122,0.8165860542746843,0.00826451895642507,3448.211572025821,9593.158981446528
t+16,0.0003885252440981553,0.04684735068067204,901.313661319553,533.6736040515339,0.6095055639860949,0.25636576417047147,0.15244251020229083,0.04299733844581293,0.5479475858681339,0.04155488376103923,135.87699176999166,0.028549973865873077,0.696836647684934,0.5361403701778842,573.361984407672,0.07805807747463718,0.0840084822371861,0.05398982642642299,0.015873839241158302,0.01569326541054228,0.054394527340962937,0.15551874531911744,0.8166736466021493,0.00826089753039204,3448.1829062387023,9594.853264409658
t+17,0.00038883178948387266,0.04692963114711818,900.6006895631365,533.8485407664527,0.6097566135729611,0.2564792195305011,0.1522303369980012,0.043067620561560264,0.5482134327422937,0.041555255905667075,135.97815898707483,0.028541362241265675,0.696790469286406,0.5362008554063384,573.7525428691436,0.0780411693110076,0.08402760027578872,0.05398701082472383,0.015870768275501462,0.015693022663847072,0.05439103855438184,0.15535091137990614,0.8165589043084724,0.008257639113650517,3448.271899699865,9595.890055032878
t+18,0.0003890417264218895,0.04698588488379372,899.7691603280622,533.9307384337059,0.6098708212809894,0.2565437445513946,0.1520032309514818,0.043113968065519294,0.5483694733534751,0.04155434533486664,136.04965165616434,0.028533768310250382,0.6966328632190733,0.5362571155668171,573.9877463913182,0.07802355065014532,0.08404369432655799,0.05398345565966476,0.015868254068167244,0.01569239863337763,0.054387554447694886,0.1551568086508294,0.8163017208455877,0.008255033583634755,3448.362264695048,9596.98947070044
t+19,0.0006026347672071595,0.045872188180471195,917.6913609004947,536.1856450243305,0.6097415102011031,0.28421786396903825,0.162999145106087,0.04254529983870989,0.7019949459195555,0.050617887959958356,155.39840880382633,0.02855283289744883,0.7363400671884145,0.6171911976673403,552.1461966098981,0.08257648420315584,0.08450222287147498,0.0546981289072707,0.01666077224987931,0.01601140154460683,0.05448126348581456,0.16168680563838148,0.8158370053628925,0.008302929245824224,4255.990726875494,9668.484475349824
t+20,0.0005503703847207471,0.04329584290849656,909.1499025451195,536.2756980671551,0.5992259809170376,0.27726961128428823,0.1604438215512555,0.04026893433322884,0.6661535252595263,0.047215598656233405,147.6883799976171,0.028452698266752032,0.716756879502466,0.5818118891149366,550.2586690780082,0.08082638983367896,0.0843704685138928,0.05454957606446457,0.01648530388651125,0.015760385093729228,0.05357935551903704,0.1572388117229129,0.830020984864572,0.008222337344573026,4071.211590326848,9539.23799258722
t+21,0.0005009729048872404,0.04168365689319046,905.4122293540435,535.5722425093538,0.5933692139612855,0.2710713036921489,0.15688782672886853,0.03873992261229913,0.6352798881842678,0.04437942750074412,141.59344281180398,0.02841648686827104,0.7031463765241245,0.5586550626975453,549.810826679637,0.07946738746598929,0.0842617705077858,0.05436542438827186,0.016261816855705817,0.015655199654959543,0.05373053463233567,0.1544543229631704,0.8322715623053937,0.008236142873392556,3889.9527584080174,9519.651713718533
