,QV1_AI01,QV2_AI02,SV1_FI05,SV2_FI06,SV3_TI06,SV4_TI01,SV5_PI06,SV6_AT02,SV7_TI02,SV8_TI03,SV9_FT04,SV10_TI04,SV11_TI05,SV12_TI07,SV13_FIC02,SV14_TI08,SV15_TIC12,SV16_TI09,SV17_PI04,SV18_PIC03,SV19_TI10,SV20_PI05,SV21_TI11,SV22_PIC02,SV23_FIC01,SV24_FIC02
t+11,0.7987356712009531,0.58661664960565,0.3585154898296843,0.37517657227186063,0.2139689811659662,0.5853117365088325,0.23405797596915712,0.585248935625647,0.4779007839045819,0.56686875015473,0.4127426961913695,0.03327693166216472,0.28977060487758666,0.3279427932366522,0.3313307271590551,0.16682399137049375,0.03668396857391554,0.020907366374388503,0.00726748168798852,0.025303678658791906,0.03046928437481078,0.20921413671450573,0.3876754688635847,0.002657194259774176,0.44666491033697064,0.019892247622364745
t+12,0.7981316122350448,0.5792261887674088,0.3579399126797731,0.37201232585647503,0.21292579829128133,0.5838597557155303,0.23278541099723893,0.5763876965843573,0.4773898021638451,0.5682224320118467,0.4090220525480067,0.031840901180977155,0.2877572835074006,0.3282315249303126,0.32521786341309633,0.165843314527082,0.03655427802452649,0.021592061873269786,0.0086585584667499,0.025196102385708463,0.031313649230791274,0.20762557917039182,0.38535529357844156,0.0026272873467185764,0.44741531147384084,0.019413946047244002
t+13,0.7974618357383535,0.5737915358939474,0.3577851735466435,0.36982544449111665,0.2120053493574614,0.5826799565532923,0.23229787815228709,0.5699154022553711,0.47674186655907,0.569401290375446,0.40622091353702117,0.03081913341414455,0.2863299768550587,0.3282423515074383,0.32095581516189375,0.16517394445524491,0.03641960545427447,0.02203262416213947,0.009841598520052619,0.02512568809820348,0.03194526792648178,0.20679590193337483,0.3837213487243114,0.0025227905290481356,0.44782019911921234,0.01916406429204931
t+14,0.7968790398768539,0.5698488559771622,0.35797837041464253,0.36835956226747035,0.21123268930948802,0.5817633890663018,0.2323884217325397,0.5652602976679871,0.4760952565815151,0.5703679485860327,0.4040861910580522,0.030105330762897453,0.28532370528416207,0.3281217450718764,0.3180427407437034,0.16474788856020228,0.03629379795209653,0.022320423259767685,0.010794192052588358,0.025105904365748888,0.03241887637720653,0.2065523463650908,0.3826410352623626,0.002389556698593198,0.4480446712629903,0.01904565286824278
t+15,0.7964302603890616,0.5670140811862907,0.3584491113517594,0.3674181616555168,0.21060429865352825,0.5810755103227078,0.2328985005835471,0.5619462339692778,0.47551910511374695,0.5711218686601645,0.4025150983070711,0.02960688869870931,0.2846260288606416,0.3279498126527163,0.31609381449292107,0.16450054688603633,0.03618040446801263,0.022511911794291017,0.011532553494196685,0.025122535519021327,0.03277058309688807,0.20675317693266315,0.3819937900295308,0.0022555039175129465,0.4481764194458986,0.018995543779785518
t+16,0.7961126231320012,0.5649882518651581,0.35914052432242694,0.3668512136850508,0.21010139660234295,0.5805781365905243,0.2337128003808443,0.559603167359614,0.47504080448201114,0.5716911334580006,0.4013858036193305,0.029258863192690776,0.28415946094490885,0.32776927067155004,0.31482595713767325,0.16437509871785727,0.03607978786424748,0.022639931945118486,0.012085443524186612,0.025157906459292834,0.03302623014023898,0.20728672014768623,0.381677907570262,0.002134908687871029,0.44826263311146175,0.0189763978643821
t+17,0.7959058888995563,0.5635461210199689,0.3600047427666885,0.366548013346949,0.20970288656564084,0.5802367842771867,0.23474506324947053,0.5579513338203137,0.47466565397316784,0.5721167368550168,0.4005854271596969,0.02901476744977638,0.28385965680095315,0.32760472741912405,0.3140310657775842,0.1643288111519724,0.035990612095703534,0.02272605616099599,0.01248882220470704,0.02519881428220927,0.033209279527355307,0.20806808796198317,0.3816105819752931,0.0020341841944664374,0.44832572819355143,0.018967269426625855
t+18,0.7957839846746098,0.5625204619164148,0.3610074730992968,0.366428909193943,0.20938739875004775,0.5800228529530715,0.2359392570617247,0.5567864419030979,0.4743874229581211,0.5724398588575439,0.40002179743076804,0.028847257833166995,0.28367669235011184,0.327464024566987,0.31356272505767346,0.16432983242729127,0.03592097418066875,0.022780796110628554,0.012768666222036984,0.025233331416455007,0.03332976217992256,0.20903408305689164,0.38172768765920373,0.0019573796336217475,0.44837884147070617,0.018943492082036606
t+19,0.5523421652159981,0.4582231336577768,0.29903815530093336,0.36711830594948724,0.06106433930329713,0.45923433717291495,0.16090530205174614,0.5213714777654752,0.18586355420030043,0.41752098645476765,0.24390485219054547,0.04034467600735514,0.19725351545000347,0.08707861034464581,0.37006738530817695,0.08164243663481652,0.026238940166469993,0.005733440185341276,-0.0472234917338854,-0.014497450319596705,0.024302232163543103,0.14255471782365547,0.3683634229628706,0.020102495871947235,0.18057686629392222,0.018664432611710247
t+20,0.6221865258553116,0.5210569391204471,0.32325746839448166,0.3642861849443144,0.10576846543104823,0.4842703241399433,0.1839364806941891,0.5736123820145539,0.25649613122590387,0.4753889162999604,0.304213193164972,0.040414960913158327,0.2272837839277826,0.15668375351277564,0.37460261637954884,0.11328692969107501,0.023372960221079042,0.008230252978042585,-0.036129104277781376,0.0009452590596390475,0.03798523144014487,0.17506513884249875,0.3495343479025519,0.014490361669742047,0.24888982466750376,0.03752285002754985
