plot_type,case,variable,split,n_samples,MAE,RMSE,R2,MAPE
rolling_time_series,R5-13_air2_200_tr2_300_part1,B35_H2S,all,126,0.003798130867720827,0.00410107244315236,-2.088779129008087,19.05741701225378
rolling_time_series,R5-13_air2_200_tr2_300_part1,B35_SO2,unknown,126,0.0014293384917622141,0.0015852216577249996,0.19537881358924292,21.21995301697534
rolling_time_series,R5-13_air2_200_tr2_300_part1,B35_SO2,all,126,0.0014293384917622141,0.0015852216577249996,0.19537881358924292,21.21995301697534
rolling_time_series,R5-13_air2_200_tr2_300_part2,B35_H2S,unknown,126,0.0055526949986246694,0.005679119334464406,-13.641071637347098,25.1550787565818
rolling_time_series,R5-13_air2_200_tr2_300_part2,B35_H2S,all,126,0.0055526949986246694,0.005679119334464406,-13.641071637347098,25.1550787565818
rolling_time_series,R5-13_air2_200_tr2_300_part2,B35_SO2,unknown,126,0.002212252630962417,0.0023036590830546612,-1.0643426003867362,30.179215406216258
rolling_time_series,R5-13_air2_200_tr2_300_part2,B35_SO2,all,126,0.002212252630962417,0.0023036590830546612,-1.0643426003867362,30.179215406216258
rolling_time_series,R5-13_air2_320_tr2_215_part1,B35_H2S,unknown,126,0.0005240176481473158,0.0006459315603135046,0.5832233066628874,4.03970374141491
rolling_time_series,R5-13_air2_320_tr2_215_part1,B35_H2S,all,126,0.0005240176481473158,0.0006459315603135046,0.5832233066628874,4.03970374141491
rolling_time_series,R5-13_air2_320_tr2_215_part1,B35_SO2,unknown,126,0.0006058318264186951,0.0007611573760556956,0.8000460994454612,6.415793472437283
rolling_time_series,R5-13_air2_320_tr2_215_part1,B35_SO2,all,126,0.0006058318264186951,0.0007611573760556956,0.8000460994454612,6.415793472437283
rolling_time_series,R5-13_air2_320_tr2_215_part2,B35_H2S,unknown,126,0.00039697017499180763,0.00047077089400126773,0.8274419518493137,3.089682246572552
rolling_time_series,R5-13_air2_320_tr2_215_part2,B35_H2S,all,126,0.00039697017499180763,0.00047077089400126773,0.8274419518493137,3.089682246572552
